FranchiseID,Season,Lg,TeamID,W,L,WL_percentage,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,TopWS,Rien
NJN,2014,NBA,BRK,31,40,.437,3,-3.52,92.7,-1.2,103.6,-1.9,107.0,1.5,,llopezbr01,
NJN,2013,NBA,BRK,44,38,.537,2,-1.58,91.4,-2.5,106.7,0.0,107.7,1.0,Lost E. Conf. Semis,wwillide01,
NJN,2012,NBA,BRK,49,33,.598,2,1.25,88.8,-3.2,108.2,2.3,106.2,0.3,Lost E. Conf. 1st Rnd.,wwillide01,
NJN,2011,NBA,NJN,22,44,.333,5,-6.37,90.1,-1.2,102.9,-1.7,109.6,5.0,,hhumphkr01,
NJN,2010,NBA,NJN,24,58,.293,4,-6.28,89.9,-2.2,103.1,-4.2,109.9,2.6,,llopezbr01,
NJN,2009,NBA,NJN,12,70,.146,5,-8.93,91.4,-1.3,100.6,-7.0,110.5,2.9,,llopezbr01,
NJN,2008,NBA,NJN,34,48,.415,3,-2.31,89.9,-1.8,108.3,0.0,111.0,2.7,,ccartevi01,
NJN,2007,NBA,NJN,34,48,.415,4,-5.15,91.5,-0.9,104.0,-3.5,109.4,1.9,,ccartevi01,
NJN,2006,NBA,NJN,41,41,.500,2,-1.00,91.4,-0.5,105.7,-0.8,106.6,0.1,Lost E. Conf. Semis,ccartevi01,
NJN,2005,NBA,NJN,49,33,.598,1,1.11,89.8,-0.7,103.9,-2.3,102.4,-3.8,Lost E. Conf. Semis,jjefferi01,
NJN,2004,NBA,NJN,42,40,.512,3,-1.82,89.1,-1.8,101.4,-4.7,103.1,-3.0,Lost E. Conf. 1st Rnd.,ccartevi01,
NJN,2003,NBA,NJN,47,35,.573,1,1.88,89.4,-0.7,100.8,-2.1,98.0,-4.9,Lost E. Conf. Semis,jjefferi01,
NJN,2002,NBA,NJN,49,33,.598,1,4.42,91.6,0.6,103.8,0.2,98.1,-5.5,Lost Finals,kkiddja01,
NJN,2001,NBA,NJN,52,30,.634,1,3.67,91.8,1.1,104.0,-0.5,99.5,-5.0,Lost Finals,kkiddja01,
NJN,2000,NBA,NJN,26,56,.317,6,-5.30,91.8,0.5,100.0,-3.0,105.5,2.5,,mmarbust01,
NJN,1999,NBA,NJN,31,51,.378,6,-1.18,92.5,-0.6,105.1,1.0,106.3,2.2,,mmarbust01,
NJN,1998,NBA,NJN,16,34,.320,7,-3.20,91.5,2.6,99.5,-2.7,103.6,1.4,,mmarbust01,
NJN,1997,NBA,NJN,43,39,.524,3,1.88,91.0,0.7,108.3,3.3,106.6,1.6,Lost E. Conf. 1st Rnd.,kkittlke01,
NJN,1996,NBA,NJN,26,56,.317,5,-3.89,92.4,2.3,104.7,-2.0,109.7,3.0,,ggillke01,
NJN,1995,NBA,NJN,30,52,.366,6,-4.14,90.9,-0.9,101.9,-5.7,106.5,-1.1,,ggilliar01,
NJN,1994,NBA,NJN,30,52,.366,5,-3.28,92.3,-0.6,105.2,-3.1,108.6,0.3,,aanderke01,
NJN,1993,NBA,NJN,45,37,.549,3,2.11,95.5,0.4,107.2,0.9,104.9,-1.4,Lost E. Conf. 1st Rnd.,ccolemde01,
NJN,1992,NBA,NJN,43,39,.524,3,1.20,96.0,-0.8,106.5,-1.5,105.2,-2.8,Lost E. Conf. 1st Rnd.,ccolemde01,
NJN,1991,NBA,NJN,40,42,.488,3,-1.54,98.0,1.4,107.0,-1.2,108.7,0.5,Lost E. Conf. 1st Rnd.,ppetrodr01,
NJN,1990,NBA,NJN,26,56,.317,5,-4.53,99.3,1.5,102.9,-5.0,107.4,-0.5,,ccolemde01,
NJN,1989,NBA,NJN,17,65,.207,6,-7.82,99.3,1.0,100.7,-7.4,108.6,0.5,,bbowiesa01,
NJN,1988,NBA,NJN,26,56,.317,5,-5.69,100.1,-0.5,103.0,-4.8,109.3,1.5,,cconnele01,
NJN,1987,NBA,NJN,19,63,.232,5,-6.98,98.6,-1.0,101.4,-6.6,109.6,1.6,,wwillibu01,
NJN,1986,NBA,NJN,24,58,.293,4,-4.42,101.8,1.0,105.6,-2.7,110.5,2.2,,wwillibu01,
NJN,1985,NBA,NJN,39,43,.476,4,-1.39,103.3,1.2,105.0,-2.2,106.9,-0.3,Lost E. Conf. 1st Rnd.,ggminsmi01,
NJN,1984,NBA,NJN,42,40,.512,3,0.64,101.0,-1.1,107.9,0.0,107.7,-0.2,Lost E. Conf. 1st Rnd.,rrichami01,
NJN,1983,NBA,NJN,45,37,.549,4,1.27,103.0,1.6,106.1,-1.5,105.0,-2.6,Lost E. Conf. Semis,ddawkida01,
NJN,1982,NBA,NJN,49,33,.598,3,2.77,104.0,0.9,101.6,-3.1,98.9,-5.8,Lost E. Conf. 1st Rnd.,wwillibu01,
NJN,1981,NBA,NJN,44,38,.537,3,0.87,103.1,2.2,103.0,-3.9,102.3,-4.6,Lost E. Conf. 1st Rnd.,wwillibu01,
NJN,1980,NBA,NJN,24,58,.293,5,-5.15,105.2,3.4,101.0,-4.5,106.7,1.2,,nnewlimi01,
NJN,1979,NBA,NJN,34,48,.415,5,-0.98,106.1,3.0,101.5,-3.8,102.5,-2.8,,nnewlimi01,
NJN,1978,NBA,NJN,37,45,.451,3,-4.00,109.5,3.7,98.0,-5.8,101.8,-2.0,Lost E. Conf. 1st Rnd.,kkingbe01,
NJN,1977,NBA,NJN,24,58,.293,5,-5.61,110.9,4.2,95.0,-5.9,100.2,-0.7,,kkingbe01,
NJN,1976,NBA,NYN,22,60,.268,5,-6.54,103.7,-2.8,92.2,-7.3,98.7,-0.8,,vvanbrja01,
NJN,1975,ABA,NYA,55,29,.655,2,2.56,105.9,-1.0,104.4,0.3,101.7,-2.4,Won Finals,eervinju01,
NJN,1974,ABA,NYA,58,26,.690,2,6.58,103.4,0.3,106.3,1.6,98.9,-5.8,Lost E. Div. Semis,eervinju01,
NJN,1973,ABA,NYA,55,29,.655,1,4.80,105.0,2.4,103.5,0.5,98.4,-4.6,Won Finals,eervinju01,
NJN,1972,ABA,NYA,30,54,.357,4,-5.80,104.5,-4.8,98.8,-3.0,105.0,3.2,Lost E. Div. Semis,ppaultbi01,
NJN,1971,ABA,NYA,44,40,.524,3,0.21,108.8,-3.1,102.3,1.7,101.9,1.3,Lost Finals,bbarryri01,
NJN,1970,ABA,NYA,40,44,.476,3,-0.86,107.3,-3.8,103.0,-2.0,103.5,-1.5,Lost E. Div. Semis,bbarryri01,
NJN,1969,ABA,NYA,39,45,.464,4,-1.02,107.2,-2.0,100.7,-2.0,101.5,-1.2,Lost E. Div. Semis,ttartle01,
NJN,1968,ABA,NYA,17,61,.218,5,-7.89,109.4,0.0,98.4,-5.6,106.3,2.3,,ssimonwa01,
NJN,1967,ABA,NJA,36,42,.462,5,-1.13,108.2,1.2,102.2,0.9,103.7,2.4,,aanderda01,
CHA,2014,NBA,CHO,30,41,.423,4,-2.77,93.3,-0.6,100.3,-5.2,102.8,-2.7,,jjeffeal01,
CHA,2013,NBA,CHA,43,39,.524,3,-0.89,92.4,-1.5,103.6,-3.1,103.8,-2.9,Lost E. Conf. 1st Rnd.,jjeffeal01,
CHA,2012,NBA,CHA,21,61,.256,4,-9.29,91.5,-0.5,101.5,-4.4,111.5,5.6,,wwalkeke02,
CHA,2011,NBA,CHA,7,59,.106,5,-13.96,91.1,-0.2,95.2,-9.4,110.4,5.8,,bbrownde04,
CHA,2010,NBA,CHA,34,48,.415,4,-4.08,89.6,-2.5,103.4,-3.9,107.8,0.5,,aaugusdj01,
CHA,2009,NBA,CHA,44,38,.537,4,1.30,90.4,-2.3,104.4,-3.2,102.8,-4.8,Lost E. Conf. 1st Rnd.,wwallage01,
CHA,2008,NBA,CHA,35,47,.427,4,-1.20,88.3,-3.4,104.7,-3.6,106.1,-2.2,,wwallage01,
CHA,2007,NBA,CHA,32,50,.390,4,-4.49,91.8,-0.6,104.6,-2.9,109.4,1.9,,rrichaja01,
CHA,2006,NBA,CHA,33,49,.402,4,-3.97,92.0,0.1,103.6,-2.9,107.6,1.1,,wwallage01,
CHA,2005,NBA,CHA,26,56,.317,4,-3.90,93.4,2.9,102.5,-3.7,106.7,0.5,,wwallage01,
CHA,2004,NBA,CHA,18,64,.220,4,-6.15,92.3,1.4,101.1,-5.0,107.5,1.4,,bbrezepr01,
CHA,2001,NBA,CHH,44,38,.537,2,0.57,89.7,-1.0,104.3,-0.2,103.3,-1.2,Lost E. Conf. Semis,bbrownpj01,
CHA,2000,NBA,CHH,46,36,.561,3,1.45,89.4,-1.9,101.8,-1.2,99.5,-3.5,Lost E. Conf. Semis,ddavisba01,
CHA,1999,NBA,CHH,49,33,.598,2,2.33,93.9,0.8,104.3,0.2,101.4,-2.7,Lost E. Conf. 1st Rnd.,jjonesed02,
CHA,1998,NBA,CHH,26,24,.520,5,0.63,89.7,0.8,102.3,0.1,102.4,0.2,,wwesleda01,
CHA,1997,NBA,CHH,51,31,.622,3,2.45,89.4,-0.9,107.5,2.5,105.3,0.3,Lost E. Conf. Semis,rricegl01,
CHA,1996,NBA,CHH,54,28,.659,4,2.13,88.6,-1.5,110.9,4.2,108.9,2.2,Lost E. Conf. 1st Rnd.,mmasonan01,
CHA,1995,NBA,CHH,41,41,.500,6,-0.48,91.6,-0.2,111.2,3.6,111.8,4.2,,jjohnsla02,
CHA,1994,NBA,CHH,50,32,.610,2,2.87,91.2,-1.7,109.6,1.3,106.1,-2.2,Lost E. Conf. 1st Rnd.,mmournal01,
CHA,1993,NBA,CHH,41,41,.500,5,-0.23,97.5,2.4,108.4,2.1,108.6,2.3,,hhawkihe01,
CHA,1992,NBA,CHH,44,38,.537,3,-0.02,100.2,3.4,109.5,1.5,109.7,1.7,Lost E. Conf. Semis,jjohnsla02,
CHA,1991,NBA,CHH,31,51,.378,7,-3.57,101.7,5.1,107.1,-1.1,110.9,2.7,,jjohnsla02,
CHA,1990,NBA,CHH,26,56,.317,7,-4.95,97.3,-0.5,105.0,-2.9,110.4,2.5,,bboguemu01,
CHA,1989,NBA,CHH,19,63,.232,7,-7.00,98.1,-0.2,102.0,-6.1,109.9,1.8,,bboguemu01,
CHA,1988,NBA,CHH,20,62,.244,6,-7.74,100.3,-0.3,103.7,-4.1,112.1,4.3,,rrambiku01,
CHI,2014,NBA,CHI,44,29,.603,2,2.10,92.8,-1.1,107.6,2.1,105.1,-0.4,,bbutleji01,
CHI,2013,NBA,CHI,48,34,.585,2,1.20,90.2,-3.7,102.5,-4.2,100.5,-6.2,Lost E. Conf. 1st Rnd.,nnoahjo01,
